route_id,agency_id,route_short_name,route_long_name,route_type,route_color,route_text_color
"2015","1","C28","Al Baraha Bus Stn - Mamzar Beach Park","3","FFC000","000000"
"2016","1","C05","Gold Souq Bus Stn - Al Ghubaiba Bus Stn","3","FFC000","000000"
"2018","1","C04","Gold Souq Bus Stn - Jaddaf","3","FFC000","000000"
"2020","1","C09","Al Satwa Bus Stn - Hor Al Anz East, Qiyadah MS","3","FFC000","000000"
"21","1","21","Al Ghubaiba Bus Stn - Al Quoz Ind'l Area-4","3","FFC000","000000"
"22","1","22","Deira City Center Bus Stn - Al Nahda 1","3","FFC000","000000"
"23","1","23","Oud Metha Bus Stn - Al Nahda 1","3","FFC000","000000"
"24","1","24","Al Nahda 2 - International City","3","FFC000","000000"
"26","1","26","Oud Metha Bus Stn - Business Bay 2 Bus Stn","3","FFC000","000000"
"27","1","27","Gold Souq Bus Stn - The Dubai Mall","3","FFC000","000000"
"28","1","28","The Dubai Mall - Oud Metha Bus Stn","3","FFC000","000000"
"29","1","29","Al Ghubaiba Bus Stn - The Dubai Mall","3","FFC000","000000"
"30","1","30","Dubai Mall MS - Dubai Sky Courts","3","FFC000","000000"
"3002","1","H03","Hatta Bus Stn - Masfut, Sheikh Khalifa Hospital","3","FFC000","000000"
"3054","1","E16","Al Sabkha Bus Stn - Hatta Bus Stn","3","FFC000","000000"
"3057","1","E303","Union Square MS - Al Jubail Bus Stn","3","FFC000","000000"
"3059","1","E306","Ghubaiba Bus Stn - Al Jubail Bus Stn","3","FFC000","000000"
"3060","1","E307","Deira City Center Bus Stn - Al Jubail Bus Stn","3","FFC000","000000"
"3064","1","E400","Union Square MS - Ajman Bus Stn","3","FFC000","000000"
