table_name,field_name,language,translation,record_id
stops,stop_name,ar,مركز تسوق سنتر بوينت 2,432002
stops,stop_name,ar,محطة حافلات مترو بنك أبوظبي التجاري جهة الشمال,451501
stops,stop_name,ar,منعطف الحضيبة 1,453001
stops,stop_name,ar,مركز الهناء 1,455001
stops,stop_name,ar,شارع الضيافة 2,456002
stops,stop_name,ar,فندق جميرا روتانا 2,457002
stops,stop_name,ar,متحف الاتحاد 1,452001
stops,stop_name,ar,مسجد جميرا الكبير,481001
stops,stop_name,ar,مركز الجميرا,483001
stops,stop_name,ar,سنشري بلازا 1,484002
stops,stop_name,ar,مركز الشاطئ1,485001
stops,stop_name,ar,شارع جميرا بنك دبي الإسلامي 1,486001
stops,stop_name,ar,مركز تسوق مركاتو 1,487001
stops,stop_name,ar,مسجد حصة بنت المر1,488001
stops,stop_name,ar,شارع العروبة 2,231502
stops,stop_name,ar,شارع العروبة 1,231501
stops,stop_name,ar,محطة حافلات السبخة 2,106002
stops,stop_name,ar,مدرسة الخنساء 1,111001
stops,stop_name,ar,مستشفى الكويت 1,130001
stops,stop_name,ar,مطعم بن عيد الشعبي - ابوهيل 1,128001
stops,stop_name,ar,الحمرية 1,204001
stops,stop_name,ar,مدرسة الوحيدة 1,206001
stops,stop_name,ar,عيادة الحمرية 1,207001
stops,stop_name,ar,"نادي شباب الأهلي, الممزر",208001
stops,stop_name,ar,جمعية دبي للفنون الشعبية 1,209001
stops,stop_name,ar,شارع الوحيدة 1,216001
stops,stop_name,ar,"نادي شباب الأهلي 1, النهدة",288001
stops,stop_name,ar,محطة حافلات مترو الاستاد 1,197101
stops,stop_name,ar,وزارة الإعلام 1,290001
stops,stop_name,ar,محطة حافلات مترو النهدة 1,198101
stops,stop_name,ar,الطوار جمعية الإتحاد التعاونية,292001
stops,stop_name,ar,محطة حافلات مترو المنطقة الحرة مطار دبي 1,199101
stops,stop_name,ar,الطوار 1 محطة بترول الإمارات - المورد 1,285001
stops,stop_name,ar,المنطقة الحرة,925001
stops,stop_name,ar,الطوار 1 محطة بترول الإمارات - المورد 2,285002
stops,stop_name,ar,مدرسة الخلفاء الراشدين للبنين 1,294001
stops,stop_name,ar,فندق دبي جراند 1,304001
stops,stop_name,ar,شارع دمشق - 1-2,305002
stops,stop_name,ar,شارع دمشق - 2-2,322002
stops,stop_name,ar,شارع دمشق - 3-2,323002
stops,stop_name,ar,مقصب دبي 1,329001
stops,stop_name,ar,محيصنة 4 الهيئة الاتحادية للكهرباء والماء 1,327001
stops,stop_name,ar,المحيصنة 4 بناية جمال 1,286101
stops,stop_name,ar,المحيصنة 4 بناية لوتاه 1,648501
stops,stop_name,ar,مدرسة اوكسفورد 1,331001
stops,stop_name,ar,بوابة مدرسة أكسفورد 4,150101
stops,stop_name,ar,محيصنة 4 مساكن الأوقاف,149101
stops,stop_name,ar,المدرسة الروسية الدولية 2,359502
stops,stop_name,ar,قرية اللولو 2,163502
stops,stop_name,ar,مدرسة الوحدة الدولية الخاصة 1,337001
stops,stop_name,ar,المدرسة الخاصة اللبنانية 1 2,510502
stops,stop_name,ar,محيصنة 4 شعبية الشرطة 1,339001
stops,stop_name,ar,محيصنة 4 شعبية الشرطة 2,339002
stops,stop_name,ar,مؤسسة تاكسي دبي محطة الأيواء 1,333001
stops,stop_name,ar,المحيصنة 4  واحة وصل 2,211001
stops,stop_name,ar,مؤسسة تاكسي دبي محطة الأيواء 2,333002
stops,stop_name,ar,المدرسة الخاصة اللبنانية 1 1,510501
stops,stop_name,ar,مدرسة الوحدة الدولية الخاصة 2,337002
stops,stop_name,ar,قرية اللولو 1,163501
stops,stop_name,ar,المدرسة الروسية الدولية 1,359501
stops,stop_name,ar,مساكن طيران الامارات 2,332002
stops,stop_name,ar,مدرسة فلادلفيا الخاصة,254501
stops,stop_name,ar,سوق المواشي 2,330002
stops,stop_name,ar,مقصب دبي 2,329002
stops,stop_name,ar,شارع دمشق - 3-1,323001
stops,stop_name,ar,شارع دمشق - 2-1,322001
stops,stop_name,ar,شارع دمشق - 1-1,305001
stops,stop_name,ar,فندق دبي جراند 2,304002
stops,stop_name,ar,محطة حافلات مترو المنطقة الحرة مطار دبي 2,199102
stops,stop_name,ar,محطة حافلات مترو النهدة 2,198102
stops,stop_name,ar,وزارة الإعلام 2,290002
stops,stop_name,ar,محطة حافلات مترو الاستاد 2,197102
stops,stop_name,ar,"نادي شباب الأهلي 2, النهدة",288002
stops,stop_name,ar,شارع الوحيدة 2,216002
stops,stop_name,ar,جمعية دبي للفنون الشعبية 2,230102
stops,stop_name,ar,عيادة الحمرية 2,207002
stops,stop_name,ar,مدرسة الوحيدة 2,206002
stops,stop_name,ar,الحمرية 2,204002
stops,stop_name,ar,مطعم بن عيد الشعبي - ابوهيل 2,246102
stops,stop_name,ar,مستشفى دبي 2,222102
stops,stop_name,ar,مسجد الفطيم,119001
stops,stop_name,ar,محطة ديرة ستي سنتر 1,161501
stops,stop_name,ar,مساكن الشيخ راشد 1-1,877001
stops,stop_name,ar,معهد الامارات للسياقة 1,878001
stops,stop_name,ar,وزارة الموارد البشرية والتوطين 1,879001
stops,stop_name,ar,كلية دبي للبنات 1,880001
stops,stop_name,ar,كلية دبي للبنات 3,182101
stops,stop_name,ar,المدخل الرئيسي لكلية دبي للبنات 2,183102
stops,stop_name,ar,النهدة مدرسة الامين الخاصة,353101
stops,stop_name,ar,النهدة ــ شارع 19 أ,311501
stops,stop_name,ar,النهدة سوبر ماركت المدينة 1,312501
stops,stop_name,ar,النهدة – كلية الامارات 1-1,313501
stops,stop_name,ar,النهدة - بناية الكناري 2,325502
stops,stop_name,ar,النهدة 1 مسجد رادا 1,248501
stops,stop_name,ar,النهدة 1 البناي 1,360001
stops,stop_name,ar,النهدة 1 برج النهدة 1,353501
stops,stop_name,ar,النهدة 1 زعفرانه 1,305501
stops,stop_name,ar,"النهدة 1, برج النور 1",303501
stops,stop_name,ar,محطة النهدة 1,302501
stops,stop_name,ar,محطة النهدة 2,302101
stops,stop_name,ar,"النهدة 1, برج النور 2",303502
stops,stop_name,ar,النهدة 1 زعفرانه 2,305502
stops,stop_name,ar,النهدة 1 برج النهدة 2,353502
stops,stop_name,ar,النهدة 1 البناي 2,360002
stops,stop_name,ar,النهدة 1 مسجد رادا 2,248502
stops,stop_name,ar,النهدة ـ بناية الكناري 1,325501
stops,stop_name,ar,النهدة – كلية الامارات 2-2,313502
stops,stop_name,ar,النهدة سوبر ماركت المدينة 2,312502
stops,stop_name,ar,النهدة 19 أ شارع 2,647501
stops,stop_name,ar,حديقة النهدة 1,184101
stops,stop_name,ar,حديقة النهدة 2,185101
stops,stop_name,ar,وزارة الموارد البشرية والتوطين 2,879002
stops,stop_name,ar,معهد الامارات للسياقة 2,878002
stops,stop_name,ar,مساكن الشيخ راشد 1-2,877002
stops,stop_name,ar,محاكم دبي 1,513501
stops,stop_name,ar,محطة القصيص الصناعية 2,344001
stops,stop_name,ar,مان للمحركات 2,363502
stops,stop_name,ar,محطة ايواء القصيص للمواصلات العامة 2,885002
stops,stop_name,ar,مدرسة دبي كارميل 2,884002
stops,stop_name,ar,مركز صحارى 2,883002
stops,stop_name,ar,محطة بترول إينوك - النهدة - 1,889001
stops,stop_name,ar,مستشفى إن إم سي 2,882002
stops,stop_name,ar,"النهدة 1, برج مي",257101
stops,stop_name,ar,النهدة 1 محطة الكهرباء 2,280102
stops,stop_name,ar,النهدة 1 مدرسة علماء الدين 2,281102
stops,stop_name,ar,النهدة 1 محطة الكهرباء 1,280101
stops,stop_name,ar,مدرسة المعارف الخاصة,312101
stops,stop_name,ar,مستشفى إن إم سي 1,882001
stops,stop_name,ar,مركز صحارى 1,883001
stops,stop_name,ar,مدرسة دبي كارميل 1,884001
stops,stop_name,ar,محطة ايواء القصيص للمواصلات العامة 1,885001
stops,stop_name,ar,منطقة القصيص الصناعية 3 مسجد الصراط المستقيم 1,703501
stops,stop_name,ar,محطة منطقة القصيص الصناعية 3,704501
stops,stop_name,ar,"منطقة القصيص الصناعية 3، مطحنة عتيق عبد الله 2",702502
