name,poi_id,osm_way_id,osm_relation_id,building,amenity,leisure,way,geometry,centroid,area,area_ft2
Forte,32,382096515,,yes,,,,"POLYGON ((55.2695116 25.1960469, 55.2694804 25.195831, 55.2694513 25.1956276, 55.2694303 25.1954052, 55.2694047 25.1951434, 55.2693941 25.1949176, 55.2692757 25.1949297, 55.2692587 25.1947957, 55.269173 25.1948046, 55.26918 25.1948596, 55.2690154 25.1948767, 55.2690741 25.19534, 55.269086 25.1954998, 55.2688808 25.195594, 55.2689428 25.1961037, 55.2692015 25.1960779, 55.2695116 25.1960469))",POINT (55.269207769854184 25.195540776184995),,1
Boulevard Point,33,382096520,,yes,,,,"POLYGON ((55.2809727 25.1938156, 55.2807278 25.1936433, 55.2807294 25.1931397, 55.28085 25.1930003, 55.2813381 25.1933254, 55.2809727 25.1938156))",POINT (55.28096394003378 25.193400022821212),,1
The 118,34,382096523,,apartments,,,,"POLYGON ((55.2814952 25.1931467, 55.2817777 25.1928563, 55.2817956 25.1926851, 55.2817054 25.1926159, 55.2813001 25.1925839, 55.2812431 25.1926305, 55.2812078 25.1930173, 55.2814952 25.1931467))",POINT (55.2814811158276 25.192832758190846),,1
Mada Residences,35,382096526,,apartments,,,,"POLYGON ((55.2844617 25.1938604, 55.2848442 25.1942209, 55.2857155 25.1935287, 55.2850886 25.1933652, 55.2844617 25.1938604))",POINT (55.28504105192068 25.19375124330933),,1
Mövenpick Hotel Apartments Downtown Dubai,36,382096530,,yes,,,,"POLYGON ((55.2836402 25.1945004, 55.2831962 25.1940891, 55.2836858 25.1936877, 55.2841131 25.1940237, 55.2840877 25.1942482, 55.2836402 25.1945004))",POINT (55.28368936554355 25.1941015101314),,1
,37,382096534,,apartments,,,,"POLYGON ((55.2822218 25.1908768, 55.2823924 25.1911018, 55.2823435 25.1912722, 55.2817024 25.1912528, 55.2817048 25.1911849, 55.2816988 25.1911327, 55.2816891 25.1910967, 55.2822218 25.1908768))",POINT (55.28206541898285 25.191115008532083),,1
Standart Chartered Bank Tower - Middle East HQ,38,382096540,,commercial,,,,"POLYGON ((55.2731895 25.202561, 55.2728737 25.2019819, 55.2728289 25.2019047, 55.2727448 25.2019454, 55.2723354 25.202121, 55.272248 25.2021577, 55.2722952 25.2022497, 55.2721499 25.2023106, 55.2721914 25.2023916, 55.2721301 25.2024173, 55.2721627 25.202481, 55.2720865 25.202513, 55.2721602 25.2026568, 55.2725486 25.2026646, 55.272778 25.2025649, 55.2728202 25.2026444, 55.2731895 25.202561))",POINT (55.27262830471215 25.20235372528469),,1
,39,385583054,,house,,,,"POLYGON ((55.2884755 25.1997562, 55.2884911 25.1997385, 55.2885293 25.1997664, 55.2885917 25.1996869, 55.288588 25.1996258, 55.2886829 25.199619, 55.2886768 25.1994722, 55.2886031 25.1994752, 55.2886064 25.1995425, 55.2885944 25.1995419, 55.2885635 25.1995207, 55.2885454 25.1995419, 55.2884938 25.199511, 55.2884717 25.1995353, 55.2884314 25.1995177, 55.2883704 25.1995243, 55.2883174 25.1995577, 55.2882873 25.1995407, 55.288182 25.1996645, 55.2882447 25.1997057, 55.2882323 25.1997221, 55.2883422 25.1997913, 55.288363 25.1997634, 55.2883805 25.1997725, 55.2883858 25.1998429, 55.288488 25.1998284, 55.2884755 25.1997562))",POINT (55.288438898007634 25.199645530246542),,1
,40,385583055,,house,,,,"POLYGON ((55.2878148 25.1998489, 55.2878346 25.1998338, 55.2878621 25.1998526, 55.2879278 25.1997731, 55.2879292 25.19971, 55.2880244 25.1997064, 55.2880204 25.1995632, 55.2879372 25.1995692, 55.2879402 25.1996351, 55.2878993 25.1996099, 55.2878799 25.1996308, 55.2878266 25.1995996, 55.2878051 25.1996251, 55.2877642 25.199605, 55.2877059 25.1996093, 55.2876522 25.1996433, 55.2876201 25.1996263, 55.2875181 25.1997525, 55.2875771 25.1997919, 55.2875667 25.1998089, 55.2876744 25.1998793, 55.2876972 25.1998526, 55.2877166 25.1998647, 55.2877193 25.1999302, 55.2878159 25.1999236, 55.2878148 25.1998489))",POINT (55.287775098523326 25.19973315429078),,1
,41,385583057,,house,,,,"POLYGON ((55.2872372 25.2003264, 55.2872103 25.2003155, 55.2871245 25.2004296, 55.2871031 25.2004272, 55.287095 25.2003495, 55.2870039 25.2003572, 55.2870253 25.2004794, 55.28704 25.2005716, 55.2871735 25.2005625, 55.2871929 25.2005345, 55.2872425 25.2005652, 55.2872546 25.2005521, 55.2873186 25.2005567, 55.2873673 25.2005497, 55.2874196 25.2005212, 55.2874544 25.2005358, 55.287551 25.2004144, 55.287496 25.2003774, 55.2875081 25.2003622, 55.2873994 25.2002925, 55.287384 25.2003149, 55.287331 25.2002797, 55.287327 25.2001942, 55.2872338 25.2002027, 55.2872439 25.2002876, 55.28726 25.2002888, 55.2872372 25.2003264))",POINT (55.28727181030304 25.200422860132207),,1
